### Training datasets ###
Path, Frames
"1_high_temperature/12_ML/7_NPT_1600_3000K/dpdata/val",  20 
"1_high_temperature/12_ML/8_NPT_1_10000bar/dpdata/val",  20 
"1_high_temperature/12_ML/9_NPT_3000K_10000bar/dpdata/val",  20 
"1_high_temperature/13_ML/5_NVT_3000K/dpdata/val",  20 
"1_high_temperature/13_ML/6_NPT_3000K/dpdata/val",  17 
"1_high_temperature/13_ML/7_NPT_1600_3000K/dpdata/val",  20 
"1_high_temperature/13_ML/8_NPT_1_10000bar/dpdata/val",  20 
"1_high_temperature/13_ML/9_NPT_3000K_10000bar/dpdata/val",  20 
"1_high_temperature/14_ML/5_NVT_3000K/dpdata/val",  20 
"1_high_temperature/14_ML/6_NPT_3000K/dpdata/val",  16 
"1_high_temperature/14_ML/7_NPT_1600_3000K/dpdata/val",  20 
"1_high_temperature/14_ML/8_NPT_1_10000bar/dpdata/val",  20 
"1_high_temperature/14_ML/9_NPT_3000K_10000bar/dpdata/val",  20 
"1_high_temperature/15_ML/5_NVT_3000K/dpdata/val",  20 
"1_high_temperature/15_ML/7_NPT_1600_3000K/dpdata/val",  20 
"1_high_temperature/15_ML/9_NPT_3000K_10000bar/dpdata/val",  20 
"1_high_temperature/16_ML/7_NPT_1600_3000K/dpdata/val",  20 
"1_high_temperature/16_ML/9_NPT_3000K_10000bar/dpdata/val",  20 
"1_high_temperature/6_ML/1_NVT/dpdata/val",  20 
"2_high_pressure/14_ML/4_NPT_1bar_1GPa_300K/dpdata/val",  20 
"2_high_pressure/14_ML/5_NPT_1GPa_300K/dpdata/val",  20 
"2_high_pressure/16_ML/5_NPT_1GPa_300K/dpdata/val",  20 
"2_high_pressure/19_ML/4_NPT_1GPa_5GPa/dpdata/val",  10 
"2_high_pressure/22_ML/6_NPT_300K_0_1GPa/dpdata/val",  8 
"2_high_pressure/22_ML/7_NPT_300K_1GPa/dpdata/val",  4 
"4_crystal/1_alpha_cryst/1_NVT/dpdata/val", 4
"4_crystal/1_alpha_cryst/2_NPT_iso/dpdata/val", 5
"4_crystal/1_alpha_cryst/3_NPT_aniso/dpdata/val", 8
"4_crystal/2_beta_cryst/1_NVT/dpdata/val", 4
"4_crystal/2_beta_cryst/2_NPT_iso/dpdata/val", 4
"4_crystal/2_beta_cryst/3_NPT_aniso/dpdata/val", 3
"4_crystal/3_new_O_cryst/1_NVT/dpdata/val", 5
"4_crystal/3_new_O_cryst/2_NPT_iso/dpdata/val", 5
"4_crystal/3_new_O_cryst/3_NPT_aniso/dpdata/val", 1
"4_crystal/4_50prc_boroxol/1_NVT/dpdata/val", 4
"4_crystal/4_50prc_boroxol/2_NPT_iso/dpdata/val", 2
"4_crystal/5_100prc_boroxol/1_NVT/dpdata/val", 1
"4_crystal/5_100prc_boroxol/2_NPT_iso/dpdata/val", 5
"4_crystal/4_50prc_boroxol/4_NPT_diff_Density/dpdata/val", 25
"4_crystal/5_100prc_boroxol/4_NPT_diff_Density/dpdata/val", 25
"4_crystal/5_100prc_boroxol/5_Long_run10ns/dpdata/val", 5
"4_crystal/5_100prc_boroxol/6_boroxol_melting/dpdata/val", 15
"4_crystal/6_all_range_boroxol/1_compression/dpdata/val", 60
"4_crystal/6_all_range_boroxol/2_decompression/dpdata/val", 60

